model,vertices,faces,bvh_seconds,no_bvh_seconds,speedup
bunny,2503,4968,0.0404082,1.45008,35.8858
dragon_res3,22998,47794,0.0420257,30.5293,726.4436
dragon_res2,100250,202520,0.049536,139.352,2813.1460
armadillo,172974,345944,0.0344266,226.813,6588.3067
